CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents
09/11/2017,1907,1F,300 S FULTON AV,HOMICIDE,,FIREARM,934,SOUTHERN,Carrollton Ridge,-76.645,39.28422,"(39.28422, -76.645)",Public Are,1
09/09/2017,2227,9S,3200 ELMLEY AV,SHOOTING,,FIREARM,434,NORTHEASTERN,Belair-Edison,-76.57808,39.31705,"(39.31705, -76.57808)",Street,1
09/09/2017,2227,9S,3200 ELMLEY AV,SHOOTING,,FIREARM,434,NORTHEASTERN,Belair-Edison,-76.57808,39.31705,"(39.31705, -76.57808)",Street,1
09/09/2017,2225,9S,2500 W PRATT ST,SHOOTING,,FIREARM,842,SOUTHWESTERN,Shipley Hill,-76.65653,39.28469,"(39.28469, -76.65653)",Dwelling,1
09/09/2017,122,9S,3500 S HANOVER ST,SHOOTING,,FIREARM,912,SOUTHERN,Brooklyn,-76.60878,39.24014,"(39.24014, -76.60878)",Street,1
09/08/2017,2228,1F,3200 SPAULDING AV,HOMICIDE,,FIREARM,614,NORTHWESTERN,Central Park Heights,-76.67486,39.3483,"(39.3483, -76.67486)",Street,1
09/08/2017,2228,9S,3200 SPAULDING AV,SHOOTING,,FIREARM,614,NORTHWESTERN,Central Park Heights,-76.67486,39.3483,"(39.3483, -76.67486)",Street,1
09/07/2017,156,9S,500 S BROADWAY,SHOOTING,,FIREARM,213,SOUTHEASTERN,Fells Point,-76.59344,39.28542,"(39.28542, -76.59344)",Street,1
09/06/2017,526,1F,4200 AUDREY AV,HOMICIDE,,FIREARM,913,SOUTHERN,Brooklyn,-76.60513,39.22963,"(39.22963, -76.60513)",Alley,1
09/05/2017,2340,1F,2300 E FEDERAL ST,HOMICIDE,,FIREARM,331,EASTERN,Broadway East,-76.58569,39.30888,"(39.30888, -76.58569)",Street,1
09/05/2017,1507,9S,1700 N CAREY ST,SHOOTING,,FIREARM,742,WESTERN,Sandtown-Winchester,-76.64265,39.3087,"(39.3087, -76.64265)",Street,1
09/05/2017,220,9S,1700 RUTLAND AV,SHOOTING,,FIREARM,331,EASTERN,Broadway East,-76.59295,39.31002,"(39.31002, -76.59295)",Vehicle,1
09/04/2017,2302,9S,2600 OSWEGO AV,SHOOTING,,FIREARM,533,NORTHERN,Greenspring,-76.66061,39.33665,"(39.33665, -76.66061)",Street,1
09/04/2017,2221,1F,1800 E LAFAYETTE AV,HOMICIDE,,FIREARM,331,EASTERN,Broadway East,-76.59286,39.31077,"(39.31077, -76.59286)",Street,1
09/04/2017,1515,1K,1400 E OLIVER ST,HOMICIDE,,KNIFE,343,EASTERN,Oliver,-76.59961,39.30731,"(39.30731, -76.59961)",Street,1
09/04/2017,1232,1F,4200 NICHOLAS AV,HOMICIDE,,FIREARM,442,NORTHEASTERN,Belair-Edison,-76.56403,39.3292,"(39.3292, -76.56403)",Street,1
09/04/2017,928,1O,1000 BRENTWOOD AV,HOMICIDE,,OTHER,311,EASTERN,Johnston Square,-76.60911,39.30133,"(39.30133, -76.60911)",Public Are,1
09/03/2017,1734,9S,400 W MULBERRY ST,SHOOTING,,FIREARM,111,CENTRAL,Downtown,-76.62206,39.29381,"(39.29381, -76.62206)",Parking Lo,1
09/03/2017,455,9S,5400 READY AV,SHOOTING,,FIREARM,523,NORTHERN,Mid-Govans,-76.60836,39.35579,"(39.35579, -76.60836)",Street,1
09/02/2017,2253,9S,600 RADNOR AV,SHOOTING,,FIREARM,524,NORTHERN,Winston-Govans,-76.60697,39.34768,"(39.34768, -76.60697)",Street,1
09/02/2017,2115,1F,3400 HARMONY CT,HOMICIDE,,FIREARM,232,SOUTHEASTERN,Canton,-76.56827,39.28202,"(39.28202, -76.56827)",Street,1
09/02/2017,1808,1F,1200 E LAFAYETTE AV,HOMICIDE,,FIREARM,343,EASTERN,Oliver,-76.60246,39.31038,"(39.31038, -76.60246)",Street,1
09/02/2017,1808,9S,1200 E LAFAYETTE AV,SHOOTING,,FIREARM,343,EASTERN,Oliver,-76.60246,39.31038,"(39.31038, -76.60246)",Street,1
09/01/2017,1936,9S,6700 REISTERSTOWN RD,SHOOTING,,FIREARM,631,NORTHWESTERN,Reisterstown Station,-76.70528,39.35825,"(39.35825, -76.70528)",Street,1
08/31/2017,2024,9S,3300 PIEDMONT AV,SHOOTING,,FIREARM,641,NORTHWESTERN,Hanlon-Longwood,-76.67306,39.31636,"(39.31636, -76.67306)",Street,1
08/30/2017,2147,1F,100 S HIGHLAND AV,HOMICIDE,,FIREARM,222,SOUTHEASTERN,Patterson Park Neighborho,-76.56937,39.29125,"(39.29125, -76.56937)",Street,1
08/30/2017,2035,9S,800 RESERVOIR ST,SHOOTING,,FIREARM,133,CENTRAL,Reservoir Hill,-76.63203,39.3127,"(39.3127, -76.63203)",Street,1
08/30/2017,1939,1F,500 RICHWOOD AV,HOMICIDE,,FIREARM,524,NORTHERN,Richnor Springs,-76.60955,39.34705,"(39.34705, -76.60955)",Street,1
08/30/2017,1939,1F,500 RICHWOOD AV,HOMICIDE,,FIREARM,524,NORTHERN,Richnor Springs,-76.60955,39.34705,"(39.34705, -76.60955)",Street,1
